科目名稱,分類,副分類,,,,
無線通訊之電波傳播與天線,專業選修課程,大學部領域相關專業選修課程,,,,
固態電子學,專業選修課程,大學部領域相關專業選修課程,,,,
通訊電子學 ,專業選修課程,大學部領域相關專業選修課程,,,,
人工智慧導論:機器人,專業選修課程,大學部領域相關專業選修課程,,,,
射頻電路原理與實驗,專業選修課程,大學部領域相關專業選修課程,,,,
作業系統 ,專業選修課程,大學部領域相關專業選修課程,,,,
電腦網路導論,專業選修課程,大學部領域相關專業選修課程,,,,
無線網路導論 ,專業選修課程,大學部領域相關專業選修課程,,,,
網路安全導論 ,專業選修課程,大學部領域相關專業選修課程,,,,
嵌入式系統導論,專業選修課程,大學部領域相關專業選修課程,,,,
通訊網路實驗,專業選修課程,大學部領域相關專業選修課程,,,,
人體結構、功能、臨床及醫療器 材,專業選修課程,大學部領域相關專業選修課程,,,,
VLSI 導論,專業選修課程,大學部領域相關專業選修課程,,,,
生醫工程實驗 ,專業選修課程,大學部領域相關專業選修課程,,,,
人本計算實驗,專業選修課程,大學部領域相關專業選修課程,,,,
固態物理,專業選修課程,研究所相關課程 ,,,,
半導體物理及元件(一),專業選修課程,研究所相關課程 ,,,,
半導體物理及元件(二) ,專業選修課程,研究所相關課程 ,,,,
光電子學 ,專業選修課程,研究所相關課程 ,,,,
高等電磁學(一),專業選修課程,研究所相關課程 ,,,,
高等電磁學(二) ,專業選修課程,研究所相關課程 ,,,,
積體電路技術(一),專業選修課程,研究所相關課程 ,,,,
積體電路技術(二) ,專業選修課程,研究所相關課程 ,,,,
記憶體元件與製程 ,專業選修課程,研究所相關課程 ,,,,
太陽能電池物理與技術,專業選修課程,研究所相關課程 ,,,,
CMOS 元件、可靠度及應用之特論 ,專業選修課程,研究所相關課程 ,,,,
量子力學,專業選修課程,研究所相關課程 ,,,,
材料分析,專業選修課程,研究所相關課程 ,,,,
微機電元件技術,專業選修課程,研究所相關課程 ,,,,
元件電路計測實驗,專業選修課程,研究所相關課程 ,,,,
電子材料,專業選修課程,研究所相關課程 ,,,,
薄膜技術及分析,專業選修課程,研究所相關課程 ,,,,
單光子元件與系統 ,專業選修課程,研究所相關課程 ,,,,
半導體雷射,專業選修課程,研究所相關課程 ,,,,
光電半導體物理及元件 ,專業選修課程,研究所相關課程 ,,,,
三維積體電路 ,專業選修課程,研究所相關課程 ,,,,
元件製程技術及可靠度 ,專業選修課程,研究所相關課程 ,,,,
矽奈米元件及物理,專業選修課程,研究所相關課程 ,,,,
低功率 CMOS 元件技術,專業選修課程,研究所相關課程 ,,,,
高功率半導體元件物理與技術 ,專業選修課程,研究所相關課程 ,,,,
固態理論,專業選修課程,研究所相關課程 ,,,,
類比積體電路設計,專業選修課程,研究所相關課程 ,,,,
射頻積體電路設計,專業選修課程,研究所相關課程 ,,,,
資料轉換積體電路,專業選修課程,研究所相關課程 ,,,,
功率積體電路設計,專業選修課程,研究所相關課程 ,,,,
毫米波電路與系統,專業選修課程,研究所相關課程 ,,,,
微波電路,專業選修課程,研究所相關課程 ,,,,
類比濾波器設計,專業選修課程,研究所相關課程 ,,,,
高頻電路設計與實驗 ,專業選修課程,研究所相關課程 ,,,,
生醫電子與系統,專業選修課程,研究所相關課程 ,,,,
積體電路之靜電防護設計特論 ,專業選修課程,研究所相關課程 ,,,,
實體設計自動化 ,專業選修課程,研究所相關課程 ,,,,
計算機輔助設計特論 ,專業選修課程,研究所相關課程 ,,,,
VLSI 測試與可測試性設計 ,專業選修課程,研究所相關課程 ,,,,
高等演算法 ,專業選修課程,研究所相關課程 ,,,,
計算機結構 ,專業選修課程,研究所相關課程 ,,,,
數位積體電路 ,專業選修課程,研究所相關課程 ,,,,
積體電路設計實驗 ,專業選修課程,研究所相關課程 ,,,,
機器學習 ,專業選修課程,研究所相關課程 ,,,,
平行程式設計 ,專業選修課程,研究所相關課程 ,,,,
電腦輔助電路設計與分析 ,專業選修課程,研究所相關課程 ,,,,
VLSI 導線效應之模型與最佳化 ,專業選修課程,研究所相關課程 ,,,,
矩陣運算 ,專業選修課程,研究所相關課程 ,,,,
數值半導體元件模式 ,專業選修課程,研究所相關課程 ,,,,
元件設計與模擬實驗,專業選修課程,研究所相關課程 ,,,,
數位訊號處理,專業選修課程,研究所相關課程 ,,,,
嵌入式作業系統 ,專業選修課程,研究所相關課程 ,,,,
隨機過程 ,專業選修課程,研究所相關課程 ,,,,
線性系統理論 ,專業選修課程,研究所相關課程 ,,,,
智慧型控制 ,專業選修課程,研究所相關課程 ,,,,
電腦控制系統 ,專業選修課程,研究所相關課程 ,,,,
雲端運算與巨量資料分析 ,專業選修課程,研究所相關課程 ,,,,
適應性訊號處理,專業選修課程,研究所相關課程 ,,,,
語音處理 ,專業選修課程,研究所相關課程 ,,,,
聽語資訊處理 ,專業選修課程,研究所相關課程 ,,,,
資料壓縮,專業選修課程,研究所相關課程 ,,,,
應用電腦視覺,專業選修課程,研究所相關課程 ,,,,
最佳化理論與應用 ,專業選修課程,研究所相關課程 ,,,,
超大型積體電路系統設計 ,專業選修課程,研究所相關課程 ,,,,
(高等)數位訊號處理 ,專業選修課程,研究所相關課程 ,,,,
記憶體系統 ,專業選修課程,研究所相關課程 ,,,,
數位通訊 ,專業選修課程,研究所相關課程 ,,,,
檢測與估計(理論) ,專業選修課程,研究所相關課程 ,,,,
編碼理論 ,專業選修課程,研究所相關課程 ,,,,
消息理論 ,專業選修課程,研究所相關課程 ,,,,
無線通訊訊號處理 ,專業選修課程,研究所相關課程 ,,,,
MIMO 通訊系統,專業選修課程,研究所相關課程 ,,,,
量子訊息與計算 ,專業選修課程,研究所相關課程 ,,,,
智慧霧運算系統和設計 ,專業選修課程,研究所相關課程 ,,,,
訊號處理之數學方法及演算法 (一) ,專業選修課程,研究所相關課程 ,,,,
自走式機器人 ,專業選修課程,研究所相關課程 ,,,,
機器人學 ,專業選修課程,研究所相關課程 ,,,,
模糊系統 ,專業選修課程,研究所相關課程 ,,,,
感測與智慧系統 ,專業選修課程,研究所相關課程 ,,,,
自主駕駛車技術 ,專業選修課程,研究所相關課程 ,,,,
深度學習 ,專業選修課程,研究所相關課程 ,,,,
電力電子 ,專業選修課程,研究所相關課程 ,,,,
高等電力電子 ,專業選修課程,研究所相關課程 ,,,,
數位電源控制 ,專業選修課程,研究所相關課程 ,,,,
交流式電源供應器設計 ,專業選修課程,研究所相關課程 ,,,,
電動機控制 ,專業選修課程,研究所相關課程 ,,,,
電力系統 ,專業選修課程,研究所相關課程 ,,,,
天線理論 ,專業選修課程,研究所相關課程 ,,,,
物理數學,專業選修課程,研究所相關課程 ,,,,
微波工程(一),專業選修課程,研究所相關課程 ,,,,
微波工程(二),專業選修課程,研究所相關課程 ,,,,
手機行動通訊系統,專業選修課程,研究所相關課程 ,,,,
電磁共容,專業選修課程,研究所相關課程 ,,,,
射頻積體電路實驗,專業選修課程,研究所相關課程 ,,,,
微波電路設計與製造 ,專業選修課程,研究所相關課程 ,,,,
微波量測原理,專業選修課程,研究所相關課程 ,,,,
微波主動元件,專業選修課程,研究所相關課程 ,,,,
電波傳播與散射,專業選修課程,研究所相關課程 ,,,,
數值半導體元件模式,專業選修課程,研究所相關課程 ,,,,
排隊理論 ,專業選修課程,研究所相關課程 ,,,,
無線隨意網路 ,專業選修課程,研究所相關課程 ,,,,
演算法 ,專業選修課程,研究所相關課程 ,,,,
計算機網路 ,專業選修課程,研究所相關課程 ,,,,
無線網路 ,專業選修課程,研究所相關課程 ,,,,
嵌入式系統設計 ,專業選修課程,研究所相關課程 ,,,,
行動計算 ,專業選修課程,研究所相關課程 ,,,,
網路安全 ,專業選修課程,研究所相關課程 ,,,,
無線感測網路 ,專業選修課程,研究所相關課程 ,,,,
網路隨機過程,專業選修課程,研究所相關課程 ,,,,
影像處理 ,專業選修課程,研究所相關課程 ,,,,
生醫統計學 ,專業選修課程,研究所相關課程 ,,,,
神經彌補裝置 ,專業選修課程,研究所相關課程 ,,,,
超音波導論與應用 ,專業選修課程,研究所相關課程 ,,,,
近代生醫電學,專業選修課程,研究所相關課程 ,,,,
醫學工程 ,專業選修課程,研究所相關課程 ,,,,
仿生科技,專業選修課程,研究所相關課程 ,,,,
生醫信號分析和模擬 ,專業選修課程,研究所相關課程 ,,,,
穿戴式裝置系統晶片設計 ,專業選修課程,研究所相關課程 ,,,,
臨床醫學工程概論 ,專業選修課程,研究所相關課程 ,,,,
醫療電子臨床導入 ,專業選修課程,研究所相關課程 ,,,,
平行程式(設計),專業選修課程,研究所相關課程 ,,,,
計算機結構,專業選修課程,研究所相關課程 ,,,,
資料科學,專業選修課程,研究所相關課程 ,,,,
人工智慧無線通訊,專業選修課程,研究所相關課程 ,,,,
,,,,,,
