EEDP20005,光電跨域專題 (一),1,光電系,,1,514,光電工程學系,必修,111-1-515418,zh-tw
EEDP20002,光電工程專題(三),0,光電系,,1,514,光電工程學系,必修,111-1-515419,zh-tw
EEEO30023,光電子學,3,李柏璁、張祐嘉,,3,514,光電工程學系,必修,111-1-535404,zh-tw
EEEO30023,光電子學,3,陳俐吟,,3,514,光電工程學系,必修,111-1-535405,zh-tw
EEEO30122,顯示電子電路,3,戴亞翔,,4,503,光電博士學位學程,選修,111-1-535406,en-us
EEEO30050,幾何光學,3,安惠榮,,4,503,光電博士學位學程,選修,111-1-535407,en-us
EEEO30059,液晶導論,3,陳皇銘,,3,514,光電工程學系,選修,111-1-535408,zh-tw
EEEO30034,半導體元件及物理,3,冉曉雯,,3,514,光電工程學系,選修,111-1-535409,zh-tw
EEEO30067,生醫光子學導論,3,孫家偉,,3,515,生醫工程研究所,選修,111-1-535410,zh-tw
EEEO30031,加速器光源之應用(二),3,徐嘉鴻,,3,514,光電工程學系,選修,111-1-535411,zh-tw
EEEO30010,光學設計與像差理論,3,陳政寰,,3,514,光電工程學系,選修,111-1-535412,zh-tw
EEEO30072,矽光子學,3,張祐嘉,,3,514,光電工程學系,選修,111-1-535413,zh-tw
EEEO30046,富氏光學,3,林怡欣,,3,514,光電工程學系,選修,111-1-535414,zh-tw
EEEO30057,材料光學,3,盧廷昌,,4,503,光電博士學位學程,選修,111-1-535415,en-us
EEEO30011,光學微影與解析度增益技術,3,余沛慈,,3,514,光電工程學系,選修,111-1-535416,zh-tw
EEEO30096,超穎介面,3,黃耀緯,,4,503,光電博士學位學程,選修,111-1-535417,en-us
EEEO30042,固態物理,3,黃嘉彥,,4,503,光電博士學位學程,選修,111-1-535418,en-us
EEEO30111,雷射原理與超快光學,3,陳姿伶,,3,514,光電工程學系,選修,111-1-535419,zh-tw
EEEO30065,物理光學,3,賴英杰,,3,514,光電工程學系,必修,111-1-535421,zh-tw
EEEC00002,服務學習 (二),0,劉建男、蔡中庸,,1,511,電機工程學系,必修,111-1-515100,zh-tw
EEEC00005,生涯規劃與導師時間,0,劉建男,,1,511,電機工程學系,必修,111-1-515101,zh-tw
EEEC10012,計算機概論與程式設計,3,溫宏斌,"跨院基本素養(106),校基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,必修,111-1-515102,zh-tw
EEEC10012,計算機概論與程式設計,3,蔡中庸,"跨院基本素養(106),校基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,必修,111-1-515103,zh-tw
EEEC10012,計算機概論與程式設計,3,黃紹華,"跨院基本素養(106),校基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,必修,111-1-515104,zh-tw
EEEC10012,計算機概論與程式設計,3,蔡中庸,"跨院基本素養(106),校基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,必修,111-1-515105,zh-tw
EEEC00002,服務學習 (二),0,蔡中庸、劉建男,,1,511,電機工程學系,必修,111-1-515106,zh-tw
EEEC10012,計算機概論與程式設計,3,王傑智,"跨院基本素養(106),校基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,必修,111-1-515108,zh-tw
EEEC10012,計算機概論與程式設計,3,劉建男,"跨院基本素養(106),校基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,必修,111-1-515109,zh-tw
EEEC10012,計算機概論與程式設計,3,黃育綸,"跨院基本素養(106),校基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,必修,111-1-515110,zh-tw
EEEC10023,邏輯設計,3,曾煜輝,,1,610,奈米科學及工程學士學位學程,必修,111-1-515111,zh-tw
EEEC10023,邏輯設計,3,張添烜,,1,101,醫學系,必修,111-1-515112,zh-tw
EEEC10023,邏輯設計,3,董蘭榮,,1,101,醫學系,必修,111-1-515114,zh-tw
EEEC10023,邏輯設計,3,郭峻因,,1,101,醫學系,必修,111-1-515115,zh-tw
EEEC10025,邏輯設計【英文班】,3,賴伯承,,1,101,醫學系,必修,111-1-515116,en-us
EEEC20102,用Python於數據科學和機器學習,3,李冕,,1,511,電機工程學系,選修,111-1-515117,en-us
EEEC20082,離散數學,3,帥宏翰,"跨院基本素養(106),基本素養-量性推理(110)",1,511,電機工程學系,選修,111-1-515118,zh-tw
